crop,system,category,avg_price,productivity_kg_per_sqft_per_month,capex_per_sqft,opex_per_month,expected_life_years,avg_subsidy_pct,roi_percent,subsidized_roi_percent
Artichoke,Indoor Mushroom Farming,specialty,7100.0,1.8,450,20,5,0.0,364.73,364.73
Leek,Indoor Mushroom Farming,specialty,5500.0,1.8,450,20,5,0.0,260.0,260.0
Asparagus,Indoor Mushroom Farming,specialty,5050.0,1.8,450,20,5,0.0,230.55,230.55
Brussels Sprout,Protected Cultivation - Polytunnel,protected cultivation,6550.0,0.7,350,15,8,0.0,145.9,145.9
Brussels Sprout,Protected Cultivation - Greenhouse,protected cultivation,6550.0,0.8,650,25,15,0.0,83.15,83.15
Cucumber,Protected Cultivation - Polytunnel,protected cultivation,4100.0,0.7,350,15,8,0.0,53.92,53.92
Zucchini,Protected Cultivation - Polytunnel,protected cultivation,3600.0,0.7,350,15,8,0.0,35.15,35.15
Cauliflower,Protected Cultivation - Polytunnel,protected cultivation,3300.0,0.7,350,15,8,0.0,23.89,23.89
Broccoli,Protected Cultivation - Polytunnel,protected cultivation,3300.0,0.7,350,15,8,0.0,23.89,23.89
Cucumber,Protected Cultivation - Greenhouse,protected cultivation,4100.0,0.8,650,25,15,0.0,14.64,14.64
Zucchini,Protected Cultivation - Greenhouse,protected cultivation,3600.0,0.8,650,25,15,0.0,0.66,0.66
Romaine Lettuce,Hydroponics - Drip,hydroponics,3200.0,1.5,950,40,8,0.0,-3.8,-3.8
Kale,Hydroponics - Drip,hydroponics,3150.0,1.5,950,40,8,0.0,-5.3,-5.3
Cauliflower,Protected Cultivation - Greenhouse,protected cultivation,3300.0,0.8,650,25,15,0.0,-7.73,-7.73
Broccoli,Protected Cultivation - Greenhouse,protected cultivation,3300.0,0.8,650,25,15,0.0,-7.73,-7.73
Romaine Lettuce,Hydroponics - NFT,hydroponics,3200.0,1.2,850,35,7,0.0,-14.89,-14.89
Kale,Hydroponics - NFT,hydroponics,3150.0,1.2,850,35,7,0.0,-16.22,-16.22
Romaine Lettuce,Hydroponics - DWC,hydroponics,3200.0,0.9,700,30,8,0.0,-22.77,-22.77
Kale,Hydroponics - DWC,hydroponics,3150.0,0.9,700,30,8,0.0,-23.98,-23.98
